itemid,sessions,purchase_prob,drop_prob
46156,105,0.2285714285714286,0.7714285714285715
85674,51,,1.0000000000000002
115426,56,,1.0000000000000002
119736,76,0.5131578947368423,0.48684210526315796
187946,292,,1.0
194791,61,,1.0000000000000002
213834,90,0.5111111111111111,0.4888888888888888
215715,189,,1.0
217605,59,0.28813559322033894,0.711864406779661
222888,81,0.24691358024691357,0.7530864197530864
232509,63,,1.0000000000000002
369158,52,0.23076923076923075,0.7692307692307692
370653,267,,1.0
382885,55,0.3454545454545454,0.6545454545454544
396491,95,,1.0000000000000002
399674,65,,1.0000000000000002
416017,97,0.29896907216494845,0.7010309278350514
417927,78,0.23076923076923078,0.7692307692307693
429571,119,,1.0000000000000002
450082,88,0.24999999999999997,0.75
