segment,state,expected_time_seconds_PURCHASE,expected_time_seconds_DROP
low,ADD_TO_CART,860.8637222386737,123.07628208543206
low,START,1627.911457580657,98.19628950078355
low,VIEW,1332.95765978925,33.27046548684843
medium,ADD_TO_CART,700.6927268766643,283.22585574172535
medium,START,1351.7762372621212,320.73901735090226
medium,VIEW,1052.8568186692387,184.34186229853415
high,ADD_TO_CART,550.4932513642816,497.3679890308516
high,START,1319.519381572533,579.5298119388099
high,VIEW,973.4155831680396,348.3655537281307
